index,Family,Order,Eigenvalues,Island_Endemicity,Flight_Ability,seabird,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,Centroid.Latitude,Centroid.Longitude,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,In2,In2_pred,In2_prob,Ap2,Ap2_pred,Ap2_prob,Vt2,Vt2_pred,Vt2_prob,Ne2,Ne2_pred,Ne2_prob,Fr2,Fr2_pred,Fr2_prob,Se2,Se2_pred,Se2_prob,Pa2,Pa2_pred,Pa2_prob,Pl2,Pl2_pred,Pl2_prob
0,2,0,-1668.80795781408,1,1.0,0,3.3985271531062766,2.845490610223448,2.402430427963762,2.7966713927557385,4.24233343993555,5.572496178962071,4.380024632003209,5.241058947707755,6.0012663520802425,-21.36,166.14,-60.536309968613,44.3094507719315,19.1215759669135,31.1061799021979,-1.19795668975506,-3.4397861750018,-1.721590903271,2.63188737384972,65.3609001450137,3.8431666797374,-26.1511251662683,20.5737383959003,,30.0,0.437,,0.0,1.0,,70.0,0.389,,0.0,0.999,,0.0,0.993,,0.0,0.998,,0.0,1.0,,0.0,0.999
1,2,0,-1691.25934255791,1,1.0,0,3.194173212227829,2.6602595372658615,2.2375130962503307,2.574137783515943,4.002960000420248,5.347821561451125,4.158726821151369,5.015158382823841,5.357576350422958,-21.36,166.14,-60.5363683927291,44.3087768959475,19.121284515809,31.1055593857826,-1.19795908245628,-3.43968147031304,-1.72163839793678,2.63194845781869,65.3589042825721,3.84301183462038,-26.1500539661932,20.5728893956589,,10.0,0.388,,0.0,1.0,,90.0,0.295,,0.0,0.999,,0.0,0.992,,0.0,0.999,,0.0,1.0,,0.0,0.999
2,2,0,-1203.5849277419,1,1.0,0,3.0368742168851663,2.503891949699081,2.1090003439213802,2.4203681286504293,3.8562988566557843,5.176488658182903,4.018183201256536,4.857561811661286,4.879767018891217,23.35,-75.15,-60.5030334165117,44.7116031016337,19.2973398073364,31.4811262087371,-1.19690120418294,-3.50289692761877,-1.69405396833036,2.5966339305034,66.5826929256469,3.93838590037104,-26.8114690871176,21.0971904559272,,0.0,0.858,,0.0,0.998,,100.0,0.798,,0.0,0.999,,0.0,0.996,,0.0,0.999,,0.0,1.0,,0.0,0.999
3,194,24,-13.0195327011136,1,1.0,0,3.417726683613366,2.859912550411456,1.763017000362401,1.7595805708638197,3.5263605246161616,4.61512051684126,2.8656235882069705,4.430816798843313,3.5452977256359124,-22.43,-135.43,70.4531808337778,-15.4166561500258,9.69085830800982,-0.350790123465476,-0.0853396390677141,0.0228012959084844,-0.108924103767554,0.443018015610269,-0.0255882043315865,-0.0320643086043239,0.464950843927007,0.363892845028678,,100.0,0.7,,0.0,1.0,,0.0,0.949,,0.0,0.989,,0.0,0.995,,0.0,0.998,,0.0,1.0,,0.0,0.996
4,194,24,-12.6283344067258,1,1.0,0,3.6189933266497696,3.1962211343033946,1.7578579175523736,1.7817091333745536,3.432372999130605,4.4618770161616155,2.7700855920216627,4.418238016636454,3.5726264972896864,15.99,145.81,69.6882613598107,-15.2141898458462,9.43865438627526,-0.347160671996808,-0.0904500257856577,0.0322183128174197,-0.133287388137838,0.45798836161448,-0.0170152151897906,-0.0342901715253469,0.461348042291411,0.355858208790033,80.0,100.0,0.465,0.0,0.0,1.0,20.0,0.0,0.972,0.0,0.0,0.992,0.0,0.0,0.996,0.0,0.0,0.998,0.0,0.0,1.0,0.0,0.0,0.998
5,194,24,-12.6386582212806,1,1.0,0,3.6454498961866,3.132446096869813,1.8341801851120072,1.8578592709325787,3.516904189374126,4.6443908991413725,2.922623801733353,4.598447640227264,3.76096753050819,-17.2,-151.27,69.6882854762095,-15.21419616372,9.43866223738906,-0.347160779526829,-0.0904498614947799,0.0322180136188326,-0.13328661245853,0.457987873329939,-0.017015485614854,-0.0342900984241753,0.461348116700193,0.355858432004128,70.0,100.0,0.791,10.0,0.0,1.0,10.0,0.0,0.952,10.0,0.0,0.984,0.0,0.0,0.997,0.0,0.0,0.997,0.0,0.0,1.0,0.0,0.0,0.998
6,194,24,-12.632968708236,1,1.0,0,3.367295829986474,3.0349529867072724,1.7404661748405046,1.667706820558076,3.414442608412176,4.469350462845557,2.8039662579320366,4.390738575275903,3.4111477125153233,15.99,145.81,69.6882854762096,-15.21419616372,9.4386622373891,-0.347160779526829,-0.090449861494779,0.0322180136188309,-0.133286612458526,0.457987873329937,-0.0170154856148556,-0.0342900984241749,0.461348116700194,0.35585843200413,,,0.299,,,1.0,,,0.974,,,0.993,,,0.991,,,0.998,,,1.0,,,0.992
7,194,24,-12.6407872028116,1,1.0,0,3.131136910560194,2.7212954278522306,1.667706820558076,1.62924053973028,3.367295829986474,4.3694478524670215,2.712706012638404,4.30406509320417,3.192942442841696,15.99,145.81,69.6882613599018,-15.2141898458701,9.4386543863049,-0.347160671997215,-0.0904500257850373,0.0322183128162897,-0.133287388134909,0.457988361612637,-0.0170152151908118,-0.0342901715250709,0.461348042291692,0.355858208790876,,,0.388,,,1.0,,,0.985,,,0.994,,,0.997,,,0.997,,,1.0,,,0.999
8,169,35,-78.2229163450698,1,0.5,0,2.9796028916241073,2.4997952622817508,2.1234584270966104,2.5201129055226197,3.2315945972759756,4.899554746499545,3.6943643843445058,4.288814252951703,4.7626866238630745,32.31,-64.74,-60.5201758393579,40.3231004594633,16.9458231290603,26.4068932083882,-1.13642802686242,-2.82164484843871,-1.83001554044407,2.76711383755425,24.5423940133749,-2.61555799607641,40.9038950111167,-36.4958333638744,20.0,100.0,0.264,0.0,0.0,0.983,80.0,0.0,0.189,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,1.0,0.0,0.0,0.997
9,5,5,-51.6668561336529,1,0.0,0,3.087399462079815,2.3608540011180215,1.8341801851120072,1.7369512327330598,3.5260663637080247,5.219598781836631,3.746912485364546,4.931664234225262,4.743191483885466,-41.43,174.07,-62.8102077886657,15.8967464035114,5.38627479504471,-5.15357550494967,-0.645690433686096,18.17706559135,5.49082539003909,4.44703574953682,1.31880771993385,-0.60916344892909,1.55801838510293,-0.853456542409491,100.0,100.0,0.927,0.0,0.0,1.0,0.0,0.0,0.983,0.0,0.0,0.997,0.0,0.0,0.99,0.0,0.0,0.998,0.0,0.0,1.0,0.0,0.0,1.0
