Species,Family,Order,Family_bridge,Order_bridge,Island_Endemicity,Flight_Ability,log_Beak.Length_Culmen,log_Beak.Width,log_Beak.Depth,log_Tarsus.Length,log_Wing.Length,log_Kipps.Distance,log_Tail.Length,log_Mass,Diet_Simple_Expected,seabird,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,IAE,ISA,ISS,ISG,IVS,IGE,IGG,APG,APP,APA,APL,APS,APD,FAE,FGL,FGR,NAE,NGL,SEL,SGR,PEL,PGR,PAG,PAS,PAD,VAE,VAS,VPE,VGE,VGG,CAQ,CGR,In,Ap,Vt,Ne,Fr,Se,Pa,Pt,dn.cat,fd.cat
Accipiter_efficax,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes,insular,1.0,3.3645333972905638,2.307572634505085,2.733717947850788,4.227855121296273,5.568687956224928,4.367420482284519,5.235750234279208,5.998787667487763,Vertivore,no,-52.449196720141444,41.9141097381673,8.160320173747442,-21.035633320489264,-5.918721643632207,-1.8173377460653493,4.813163245725514,-74.32955979173528,-24.243333528030703,0.2702422189096826,-1.5050511094469798,-4.596105742058981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter_quartus,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes,insular,1.0,3.1523085805960878,2.124653884501384,2.4948569806411682,3.984529696214894,5.343051697888208,4.142975983633837,5.0084996819658345,5.3528528991960505,Vertivore,no,-52.449196720141444,41.9141097381673,8.160320173747442,-21.035633320489264,-5.918721643632207,-1.8173377460653493,4.813163245725514,-74.32955979173528,-24.243333528030703,0.2702422189096826,-1.5050511094469798,-4.596105742058981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accipiter_sp_Abaco,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes,insular,1.0,2.987700101856727,1.979621206397625,2.327277705584417,3.8349259550431793,5.17082484603276,4.000033882750859,4.849762068508171,4.8721392168423305,Vertivore,no,-52.41302606330409,42.03073008275036,8.183433525388196,-21.132881875649822,-5.947960960198021,-1.8257989325958264,4.83911148474909,-74.83724900210609,-24.449199106343244,0.2906607646671573,-1.5369717104311793,-4.6520024845081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus_astrolabii,Acrocephalidae,Passeriformes,Acrocephalidae,Passeriformes,insular,1.0,3.3843902633457743,1.5748464676644813,1.5706970841176697,3.4965075614664802,4.605170185988092,2.8069901489571136,4.418840607796598,3.5160130560907366,Invertivore,no,69.49990750936264,-24.044637395351373,10.84164529591058,-0.08918727945841531,-0.0667550190035174,-0.09123583275672292,-0.3644973062929069,0.04708970504967785,-0.06354642147831153,-0.019197265244171695,0.004074429680774944,0.0450334414630206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus_luscinius,Acrocephalidae,Passeriformes,Acrocephalidae,Passeriformes,insular,1.0,3.591817741270805,1.5686159179138452,1.5973653311998313,3.3995293245614584,4.450269224770129,2.7053799725463312,4.406109305189839,3.544142657647253,Invertivore,no,69.04153096159307,-23.836909758477688,10.66932322209076,-0.08952291913477278,-0.06502024780419036,-0.0882355630712871,-0.3474814207794023,0.04248698591811182,-0.056583530010595705,-0.02840756360534791,0.013954764823385174,0.05030606849149462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus_musae,Acrocephalidae,Passeriformes,Acrocephalidae,Passeriformes,insular,1.0,3.6189933266497696,1.6601310267496185,1.6882490928583902,3.486763269991802,4.634728988229636,2.8673305587494666,4.588329168792065,3.737431494696102,Invertivore,no,69.04182708527652,-23.837043301785314,10.669433427056498,-0.08952268189222384,-0.06502135345444421,-0.0882374804527769,-0.34749232183527096,0.042489947391630235,-0.056588001738715164,-0.028401578392018515,0.013948355966699383,0.050302601373176395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus_nijoi,Acrocephalidae,Passeriformes,Acrocephalidae,Passeriformes,insular,1.0,3.332204510175204,1.547562508716013,1.4586150226995167,3.380994674344636,4.457829598089382,2.7414849771884473,4.378269585796169,3.3775875160230218,Invertivore,no,69.03884855770501,-23.835700055081226,10.668324915389125,-0.08952506766411128,-0.06501023203276313,-0.08821819418825916,-0.3473826726484696,0.04246015949438429,-0.05654302281621995,-0.028461778963691124,0.014012817902067404,0.05033747335065071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocephalus_yamashinae,Acrocephalidae,Passeriformes,Acrocephalidae,Passeriformes,insular,1.0,3.086486636822455,1.4586150226995167,1.410986973710262,3.332204510175204,4.356708826689592,2.644044871126298,4.290459441148391,3.151025157960026,Invertivore,no,69.04182708527652,-23.837043301785314,10.669433427056498,-0.08952268189222384,-0.06502135345444421,-0.0882374804527769,-0.34749232183527096,0.042489947391630235,-0.056588001738715164,-0.028401578392018515,0.013948355966699383,0.050302601373176395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegolius_gradyi,Strigidae,Strigiformes,Strigidae,Strigiformes,insular,0.5,2.9274534328006965,1.9960599327407849,2.4362414778067194,3.1912990570979662,4.892076957972121,3.6691868207682004,4.274998061915358,4.754107298762462,Vertivore,no,-52.56632134220255,41.357536488523955,8.152896024467987,-22.825897557612628,-9.81424666255658,-5.659997690849934,0.13159504974221906,-16.544781661303855,68.54658270056007,9.872612130526816,-5.2139380454701065,-7.411578922678403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegotheles_novazelandiae,Aegothelidae,Caprimulgiformes,Aegothelidae,Caprimulgiformes,insular,0.0,3.040705639196722,1.6601310267496185,1.5432981099295553,3.49620448524049,5.2141745984356085,3.7230393057606412,4.92442359727719,4.73444252169223,Invertivore,no,-57.15230222062962,26.787156688125094,5.124596437343353,-7.025140483841892,3.949630493314301,14.301444335641383,-2.3551625047724696,-0.9785262897395867,1.8791283103948562,-2.5278810546100625,2.727139356608931,2.9923440834327595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
