Species3,Family3,Order3,Avibase_id,Inferred,MainDiet,MainNiche,Pa,Pt,Ne,Se,Fr,In,Ap,Vt,Ca,PAG,PAS,PAD,PEL,PGR,NAE,NGL,SEL,SGR,FAE,FGL,FGR,IAE,ISA,ISS,ISG,IVS,IGE,IGG,APA,APL,APP,APG,APS,APD,VAE,VAS,VPE,VGE,VGG,CAQ,CGR
Accipiter albogularis,Accipitridae,Accipitriformes,AVIBASE-BBB59880,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0
Accipiter badius,Accipitridae,Accipitriformes,AVIBASE-1A0ECB6E,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,9,0,72,9,0,0,0
Accipiter bicolor,Accipitridae,Accipitriformes,AVIBASE-ADBE44E1,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0
Accipiter brachyurus,Accipitridae,Accipitriformes,AVIBASE-68BF920B,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0
Accipiter brevipes,Accipitridae,Accipitriformes,AVIBASE-8492E4B7,0,Vt,Generalist,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,0,0,0,0,0,0,0,0,0,6,36,18,0,0,0,0
Accipiter butleri,Accipitridae,Accipitriformes,AVIBASE-6B64C150,0,Vt,VPE,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0
Accipiter castanilius,Accipitridae,Accipitriformes,AVIBASE-9D80E72A,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,36,0,54,0,0,0,0
Accipiter chilensis,Accipitridae,Accipitriformes,AVIBASE-ADBE44E1,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0
Accipiter chionogaster,Accipitridae,Accipitriformes,AVIBASE-3B024163,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0
Accipiter cirrocephalus,Accipitridae,Accipitriformes,AVIBASE-21957C95,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,36,18,36,0,0,0,0
Accipiter collaris,Accipitridae,Accipitriformes,AVIBASE-32760AD5,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,70,0,0,0,0
Accipiter cooperii,Accipitridae,Accipitriformes,AVIBASE-EB98812F,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,30,0,0,0,0
Accipiter erythrauchen,Accipitridae,Accipitriformes,AVIBASE-950C5048,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0
Accipiter erythronemius,Accipitridae,Accipitriformes,AVIBASE-3B024163,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0
Accipiter erythropus,Accipitridae,Accipitriformes,AVIBASE-AFD19C47,0,Vt,Generalist,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,24,0,36,0,0,0,0
Accipiter fasciatus,Accipitridae,Accipitriformes,AVIBASE-8257AE54,0,Vt,Generalist,0,0,0,0,0,20,0,70,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,10,0,0,2,0,0,0,0,0,0,14,14,42,0,0,0,10
Accipiter francesiae,Accipitridae,Accipitriformes,AVIBASE-0307D245,0,In,ISS,0,0,0,0,0,60,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,4,0,36,0,0,0,0
Accipiter gentilis,Accipitridae,Accipitriformes,AVIBASE-420850D6,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,60,0,0,0,0
Accipiter griseiceps,Accipitridae,Accipitriformes,AVIBASE-4C2DBB2A,0,Vt,VPE,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,8,0,72,0,0,0,0
