species,Island_Endemicity,Flight_Ability
Accipiter_albogularis,yes,1
Accipiter_badius,no,1
Accipiter_bicolor,no,1
Accipiter_brachyurus,yes,1
Accipiter_brevipes,no,1
Accipiter_butleri,yes,1
Accipiter_castanilius,no,1
Accipiter_chilensis,no,1
Accipiter_chionogaster,no,1
Accipiter_cirrocephalus,no,1
Accipiter_collaris,no,1
Accipiter_cooperii,no,1
Accipiter_erythrauchen,yes,1
Accipiter_erythronemius,no,1
Accipiter_erythropus,no,1
Accipiter_fasciatus,no,1
Accipiter_francesiae,yes,1
Accipiter_gentilis,no,1
Accipiter_griseiceps,yes,1
Accipiter_gularis,no,1
Accipiter_gundlachi,yes,1
Accipiter_haplochrous,yes,1
Accipiter_henicogrammus,yes,1
Accipiter_henstii,yes,1
Accipiter_imitator,yes,1
Accipiter_luteoschistaceus,yes,1
Accipiter_madagascariensis,yes,1
Accipiter_melanochlamys,no,1
Accipiter_melanoleucus,no,1
Accipiter_meyerianus,no,1
Accipiter_minullus,no,1
Accipiter_nanus,yes,1
Accipiter_nisus,no,1
Accipiter_novaehollandiae,no,1
Accipiter_ovampensis,no,1
Accipiter_poliocephalus,no,1
Accipiter_poliogaster,no,1
Accipiter_princeps,yes,1
Accipiter_rhodogaster,yes,1
Accipiter_rufitorques,yes,1
Accipiter_rufiventris,no,1
Accipiter_soloensis,no,1
Accipiter_striatus,no,1
Accipiter_superciliosus,no,1
Accipiter_tachiro,no,1
Accipiter_toussenelii,no,1
Accipiter_trinotatus,yes,1
Accipiter_trivirgatus,no,1
Accipiter_ventralis,no,1
Accipiter_virgatus,no,1
Aegypius_monachus,no,1
Aquila_adalberti,no,1
Aquila_africanus,no,1
Aquila_audax,no,1
Aquila_chrysaetos,no,1
Aquila_clanga,no,1
Aquila_fasciatus,no,1
Aquila_gurneyi,no,1
Aquila_hastata,no,1
Aquila_heliaca,no,1
Aquila_nipalensis,no,1
Aquila_pomarina,no,1
Aquila_rapax,no,1
Aquila_verreauxii,no,1
Aquila_wahlbergi,no,1
Aviceda_cuculoides,no,1
Aviceda_jerdoni,no,1
Aviceda_leuphotes,no,1
Aviceda_madagascariensis,yes,1
Aviceda_subcristata,no,1
Busarellus_nigricollis,no,1
Butastur_indicus,no,1
Butastur_liventer,no,1
Butastur_rufipennis,no,1
Butastur_teesa,no,1
Buteo_albicaudatus,no,1
Buteo_albigula,no,1
Buteo_albonotatus,no,1
Buteo_archeri,no,1
Buteo_augur,no,1
Buteo_auguralis,no,1
Buteo_brachypterus,yes,1
Buteo_brachyurus,no,1
Buteo_buteo,no,1
Buteo_galapagoensis,yes,1
Buteo_hemilasius,no,1
Buteo_jamaicensis,no,1
Buteo_lagopus,no,1
Buteo_leucorrhous,no,1
Buteo_lineatus,no,1
Buteo_magnirostris,no,1
Buteo_nitidus,no,1
Buteo_oreophilus,no,1
Buteo_platypterus,no,1
Buteo_polyosoma,no,1
Buteo_regalis,no,1
Buteo_ridgwayi,yes,1
Buteo_rufinus,no,1
Buteo_rufofuscus,no,1
Buteo_solitarius,yes,1
Buteo_swainsoni,no,1
Buteo_ventralis,no,1
Buteogallus_aequinoctialis,no,1
Buteogallus_anthracinus,no,1
Buteogallus_gundlachii,yes,1
Buteogallus_meridionalis,no,1
Buteogallus_urubitinga,no,1
Chelictinia_riocourii,no,1
Chondrohierax_uncinatus,no,1
Chondrohierax_wilsonii,yes,1
Circaetus_beaudouini,no,1
Circaetus_cinerascens,no,1
Circaetus_cinereus,no,1
Circaetus_fasciolatus,no,1
Circaetus_gallicus,no,1
Circaetus_pectoralis,no,1
Circus_aeruginosus,no,1
Circus_approximans,no,1
Circus_assimilis,no,1
Circus_buffoni,no,1
Circus_cinereus,no,1
Circus_cyaneus,no,1
Circus_macrosceles,yes,1
Circus_macrourus,no,1
Circus_maillardi,yes,1
Circus_maurus,no,1
Circus_melanoleucos,no,1
Circus_pygargus,no,1
Circus_ranivorus,no,1
Circus_spilonotus,no,1
Dryotriorchis_spectabilis,no,1
Elanoides_forficatus,no,1
Elanus_axillaris,no,1
Elanus_caeruleus,no,1
Elanus_leucurus,no,1
Elanus_scriptus,no,1
Erythrotriorchis_buergersi,no,1
Erythrotriorchis_radiatus,no,1
Eutriorchis_astur,yes,1
Gampsonyx_swainsonii,no,1
Geranoaetus_melanoleucus,no,1
Geranospiza_caerulescens,no,1
Gypaetus_barbatus,no,1
Gypohierax_angolensis,no,1
Gyps_africanus,no,1
Gyps_bengalensis,no,1
Gyps_coprotheres,no,1
Gyps_fulvus,no,1
Gyps_himalayensis,no,1
Gyps_indicus,no,1
Gyps_rueppellii,no,1
Gyps_tenuirostris,no,1
Haliaeetus_albicilla,no,1
Haliaeetus_leucocephalus,no,1
Haliaeetus_leucogaster,no,1
Haliaeetus_leucoryphus,no,1
Haliaeetus_pelagicus,no,1
Haliaeetus_sanfordi,yes,1
Haliaeetus_vocifer,no,1
Haliaeetus_vociferoides,yes,1
Haliastur_indus,no,1
Haliastur_sphenurus,no,1
Hamirostra_melanosternon,no,1
Harpagus_bidentatus,no,1
Harpagus_diodon,no,1
Harpia_harpyja,no,1
Harpyhaliaetus_coronatus,no,1
Harpyhaliaetus_solitarius,no,1
Harpyopsis_novaeguineae,no,1
Helicolestes_hamatus,no,1
Henicopernis_infuscatus,yes,1
Henicopernis_longicauda,no,1
Hieraaetus_ayresii,no,1
Hieraaetus_morphnoides,no,1
Hieraaetus_pennatus,no,1
Hieraaetus_spilogaster,no,1
Hieraaetus_weiskei,no,1
Ichthyophaga_humilis,no,1
Ichthyophaga_ichthyaetus,no,1
Ictinaetus_malayensis,no,1
Ictinia_mississippiensis,no,1
Ictinia_plumbea,no,1
Kaupifalco_monogrammicus,no,1
Leptodon_cayanensis,no,1
Leptodon_forbesi,no,1
Leucopternis_albicollis,no,1
Leucopternis_kuhli,no,1
Leucopternis_lacernulatus,no,1
Leucopternis_melanops,no,1
Leucopternis_occidentalis,no,1
Leucopternis_plumbeus,no,1
Leucopternis_polionotus,no,1
Leucopternis_princeps,no,1
Leucopternis_schistaceus,no,1
Leucopternis_semiplumbeus,no,1
Lophaetus_occipitalis,no,1
Lophoictinia_isura,no,1
Lophotriorchis_kienerii,no,1
Macheiramphus_alcinus,no,1
Megatriorchis_doriae,no,1
Melierax_canorus,no,1
Melierax_gabar,no,1
Melierax_metabates,no,1
